Lessives.LVLb;Deodorants.ICOS1;EauDeToilette.ICOS2;ProdSoinCheveux.ICOS3;ProdSoinVisage.ICOS4;VernisOngleDissolv.ICOS5;NbPieceAvecProduitsChim.NQ142;NettoyantDeSurface.QPE1b;AutreNettoyants.QPE2b;DesodoAreosolVaporisateur.QPD1b;DesodoAutreEnsens.QPD2b;InsecticideAerosol.QPP1b;InsecticidePoudreBlocGel.QPP2b;NettoySolAspiration.QME1b;NettoySolBalaiSerp.QME2b;NettoyAutreQueSol.QME3b;CuissonFourTraditionnel.CUI1b;CuissonALeau.CUI2b;CuissonALaVapeur.CUI3b;CuissonParFriture.CUI4b;CuissonParGrillade.CUI5b;ACTIVITE;VoitureDansGarage.DGG3n;Fumeurs.FUMEURn;SechageLingeDansLogement.LVSBn;UtiliseSecheLinge.LVS4n;NettASecVetements.QNS1;PersExtPourMenage.AMN1n;TapisDescenteLitNeuf.QTA1n;NettASecTapisTissusmeuble.QTARIn;Plantes.QPV;Chiens.ANI21n;Chats.ANI22n;TraitementParasitesAnimaux.ANTCPn;HamsterCochonLapin.ANI25n;InsecticideBlatteFourmie.ULn;SortirOrduresExterieur.QOM1;OrduresDansPiece.QOM2n;EndroitStockageOrdures.QOM4;Bricolage.TMG6n;Jardinage.TMG7n;ProtMatelSimple.LIMHO0;ProtMatelImperm.LIMHO13;ProtMatelAntiAcariens.LIMHO23;ProtMatel.LIMHO4;TYPEHAB;NPVe1;HPRF;HSRF;MATER2;NIACe1;NSQ41e1;NSQ31e1;TMM1e1;TMM2e1;TMM3e1;TMMB1e1;TMMB2e1;TMMB3e1;TRM0e1;TRM1e1;TRM2e1;TRM3e1;TRM4e1;TRM5e1;TRM7e1;TRP0e1;TRP1e1;TRP2e1;TRP3e1;TRP5e1;TRS1e1;TRS2e1;TRS3e1;TRS4e1;TRS5e1;TRS6e1;TRS8e1;ACTP1;CHEM1;DBRI;DCA3e1;DGG2be1;FC316;FC812;FC9be11;FC9be12347;FC9be156;HCU11;HCU31;HCU323;HCU34;HPLBO;KCC1be1089;KCC1be11;KCC1be1234;KCC1be1567;KCC1be1555;KCC267;KCC34;KCC5;KEIU1;KEIU2;KVNT2e111;KVNT2e112;KVNT2e12;KVNT2e13;KVNT2e14;MATER017;MATER02;MATER03;MATER04;MATER056;REAB1;REAB23;REAB4;TYPELOG;Age;Revenus;Nb_Person;Nb_Enfants_inf_10;Nb_Enfants_sup_10;Sexe;Diplome_Max;Type_Prof;Occupation;Source_ppale_Res;Structure_menage;TYPEMEN;Formldéhyde
0;10,5;14;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,5;3,15;4;3;1;6;3;1;1;1;1;1;1;3;1;2;1;2;2;1;1;1;1;1;2;4;1;300;12;1;1914;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;3;3;3;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;0;0;1;2;1;1;2;1;1;1;1;1;5;43;817;2;0;0;2;1;6;1;1;3;1;12,26
3,5;14;14;1;7;0,5;0;7;3,5;3,5;0;3,5;0;1;3,5;1;0;3,5;0;1;3,5;5,25;4;2;2;5;3;1;1;1;2;1;2;1;1;2;1;2;3;1;1;1;1;1;1;4;4;280;70;1;1961;0;0;1;0;0;0;0,25;0,75;0;0,25;0;0,25;0;0,5;0;0;0;0;1;0;0;0;0,25;0;0,75;0;0;2;1;3;3;3;1;2;1;1;1;2;2;1;1;1;1;2;1;1;1;2;1;1;1;2;1;0;0;1;1;1;1;2;1;1;2;1;2;5;42;2349;2;0;1;1;7;4;1;1;2;5;10,17
1,5;7;7;0;7;0;0;0;0;0;0;0;0;0;1;0;0;3,5;0;3,5;0;2,35;4;1;1;5;3;1;1;1;1;1;1;3;1;1;1;2;2;1;1;1;1;1;1;4;3;250;40;1;1914;0;0;0;1;0;0;0,67;0,33;0;0,67;0;0;0;0,33;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;3;3;3;1;1;1;1;2;2;2;1;1;1;2;1;1;1;1;1;2;1;1;2;1;0;0;1;1;1;1;2;1;1;2;1;2;5;36;1299;1;0;0;2;8;5;1;1;1;2;21,55
1,5;7;10,5;0,5;1;0;1;3,5;0;0;14;0;0;3,5;3,5;3,5;0;3,5;0;0;3,5;3,45;4;3;2;5;3;1;1;1;2;1;2;2;1;2;2;2;1;2;1;1;1;1;2;7;2;320;38;1;1914;2;0;1;0;0;0,5;0,5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0,5;0,5;0;0;0;1;1;3;2;3;1;1;1;2;1;2;1;1;2;2;1;1;1;1;2;1;1;1;1;2;1;0;0;2;1;1;1;1;1;2;1;2;1;6;30;2349;2;0;0;2;5;4;1;1;3;1;NA
3,5;0;1;0,5;7;1;1;1;0;0;0;0;0;3,5;3,5;0;0;3,5;0;0;3,5;2,1;4;1;2;2;2;1;2;1;1;1;1;3;1;1;1;2;1;3;3;1;1;1;1;3;4;240;75;1;1967;1;0;1;0;0;0;0,5;0,5;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;3;3;3;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;2;1;1;2;1;0;0;2;1;1;1;2;1;1;2;1;2;5;43;4249;3;2;0;1;9;3;1;1;2;6;11,03
7;14;4;14;7;3,5;1;3,5;3,5;1;0;0;0;1;3,5;0;3,5;3,5;3,5;0;0;5,75;4;1;2;5;3;1;1;1;2;1;2;1;1;1;1;2;3;1;1;1;1;1;1;4;5;240;75;1;1961;0;0;0,6;0,4;0;0,4;0,2;0,4;0;0,8;0;0;0;0,2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;3;2;3;1;1;2;1;1;2;2;1;1;1;1;2;1;1;1;2;1;1;1;2;2;0;0;1;1;1;1;2;1;1;1;1;1;6;51;817;2;0;1;1;1;5;1;1;2;5;NA
7;14;10,5;10,5;7;0;0;7;1;7;7;0;14;7;0;7;0;3,5;0;0;3,5;7;4;2;2;1;3;1;1;1;2;1;1;3;1;2;1;2;3;4;1;1;1;1;2;3;2;240;50;1;1974;0;0;1;0;0;0;0,5;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;3;2;3;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;2;1;1;1;2;2;0;0;1;1;1;1;2;1;1;2;1;2;6;38;817;3;1;0;2;4;6;1;1;3;6;16,99
1,5;0;7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1,05;4;1;1;5;3;1;1;1;1;1;1;3;1;1;1;2;2;1;1;1;2;2;1;4;2;250;35;1;1948;0;0;1;0;0;0,5;0,5;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;3;3;3;1;1;1;1;2;2;1;1;2;1;1;1;1;1;2;1;1;1;1;2;1;0;0;2;1;1;1;1;1;2;1;1;1;5;49;817;1;0;0;2;1;6;1;1;1;2;11,8
1,5;7;7;3,5;7;1;0;1;3,5;3,5;0;0;0;0;3,5;1;1;0;3,5;0;0;3,25;4;1;2;5;3;1;1;1;1;1;1;3;1;1;2;2;3;1;1;1;1;1;1;7;2;250;27;1;1948;1;0;1;0;0;0;1;0;0;0,5;0;0;0;0,5;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;3;3;3;1;1;1;2;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;2;1;0;0;1;2;1;1;2;1;1;2;1;2;5;22;817;1;0;0;1;8;7;3;5;1;2;11,99
7;35;35;1;35;0;0;1;0;1;0;0;0;1;7;1;0;0;3,5;3,5;0;12,3;4;3;2;5;3;1;1;1;1;1;1;3;1;2;1;2;2;1;1;1;1;1;1;4;6;250;80;1;1967;0;0;1;0;0;0;0,33;0,17;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;3;2;3;1;1;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;2;2;1;0;0;1;2;1;1;2;1;1;1;1;1;6;31;1799;5;0;0;1;1;5;5;1;4;2;23,85
